map_simple_use,premise_age,height_bucket,total_count,global_average_fc
Mixed Use,"1919-1944,1980-1989,Pre 1919",6-7m,0,
Mixed Use,"1919-1944,1980-1989,Pre 1919",60-70m,0,
Mixed Use,"1919-1944,1980-1989,Pre 1919",7-8m,0,
Mixed Use,"1919-1944,1980-1989,Pre 1919",70-80m,0,
Mixed Use,"1919-1944,1980-1989,Pre 1919",8-9m,0,
Mixed Use,"1919-1944,1980-1989,Pre 1919",80-90m,0,
Mixed Use,"1919-1944,1980-1989,Pre 1919",9-10m,0,
Mixed Use,"1919-1944,1980-1989,Pre 1919",90-100m,0,
Mixed Use,"1919-1944,1990-1999",0-2m,0,
Mixed Use,"1919-1944,1990-1999",10-12m,3,2.0
Mixed Use,"1919-1944,1990-1999",100-200m,0,
Mixed Use,"1919-1944,1990-1999",12-14m,0,
Mixed Use,"1919-1944,1990-1999",14-16m,0,
Mixed Use,"1919-1944,1990-1999",16-18m,0,
Mixed Use,"1919-1944,1990-1999",18-20m,0,
Mixed Use,"1919-1944,1990-1999",2-3m,0,
Mixed Use,"1919-1944,1990-1999",20-25m,0,
Mixed Use,"1919-1944,1990-1999",25-30m,0,
Mixed Use,"1919-1944,1990-1999",3-4m,0,
Mixed Use,"1919-1944,1990-1999",30-35m,0,
Mixed Use,"1919-1944,1990-1999",35-40m,0,
Mixed Use,"1919-1944,1990-1999",4-5m,0,
Mixed Use,"1919-1944,1990-1999",40-45m,0,
Mixed Use,"1919-1944,1990-1999",45-50m,0,
Mixed Use,"1919-1944,1990-1999",5-6m,0,
Mixed Use,"1919-1944,1990-1999",50-55m,0,
Mixed Use,"1919-1944,1990-1999",55-60m,0,
Mixed Use,"1919-1944,1990-1999",6-7m,0,
Mixed Use,"1919-1944,1990-1999",60-70m,0,
Mixed Use,"1919-1944,1990-1999",7-8m,1,2.0
Mixed Use,"1919-1944,1990-1999",70-80m,0,
Mixed Use,"1919-1944,1990-1999",8-9m,1,2.0
Mixed Use,"1919-1944,1990-1999",80-90m,0,
Mixed Use,"1919-1944,1990-1999",9-10m,5,2.2
Mixed Use,"1919-1944,1990-1999",90-100m,0,
Mixed Use,"1919-1944,Post 1999",0-2m,0,
Mixed Use,"1919-1944,Post 1999",10-12m,2,2.0
Mixed Use,"1919-1944,Post 1999",100-200m,0,
Mixed Use,"1919-1944,Post 1999",12-14m,0,
Mixed Use,"1919-1944,Post 1999",14-16m,0,
Mixed Use,"1919-1944,Post 1999",16-18m,0,
Mixed Use,"1919-1944,Post 1999",18-20m,0,
Mixed Use,"1919-1944,Post 1999",2-3m,0,
Mixed Use,"1919-1944,Post 1999",20-25m,0,
Mixed Use,"1919-1944,Post 1999",25-30m,0,
Mixed Use,"1919-1944,Post 1999",3-4m,0,
Mixed Use,"1919-1944,Post 1999",30-35m,0,
Mixed Use,"1919-1944,Post 1999",35-40m,0,
Mixed Use,"1919-1944,Post 1999",4-5m,0,
Mixed Use,"1919-1944,Post 1999",40-45m,0,
Mixed Use,"1919-1944,Post 1999",45-50m,0,
