shapefile,extent,crs
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/ln.shp,[ 248019.52264635 5877539.61897667  321566.60379893 5938379.92499514],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/br.shp,[ 287350.16763133 5689427.37157585  306898.81476972 5702510.51421249],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/cv.shp,[ 169353.86932346 5768455.73251672  218034.21721337 5845879.20177415],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/ca.shp,[  70415.65275374 6034842.20078144  165079.92542303 6125566.86886146],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/ct.shp,[ 352106.24442261 5656834.50189219  392254.04528341 5695345.49074801],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/ll.shp,[ -26300.51335779 5843419.03548603  107766.94178602 5946558.75189754],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/wf.shp,[ 186873.53573266 5944913.34048171  224677.92623349 5965852.08774968],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/nr.shp,[ 345572.69163343 5798596.03969712  416405.51878587 5873545.74659343],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/ne.shp,[ 137896.10725712 6083229.73696228  220550.15301579 6179039.34332316],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/cb.shp,[ 284836.83828445 5758141.77919304  335526.98557794 5821364.42711744],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/da.shp,[ 296840.91447781 5688912.08568782  322949.35717603 5710495.41533051],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/hu.shp,[ 250796.22244635 5939614.66805335  311356.65117149 5982078.77280867],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/ky.shp,[  84983.67805932 6225164.12769697  156041.32913708 6270049.5049183 ],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/pe.shp,[ 254984.46190785 5785351.30123133  355375.54850117 5905625.70377223],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/rm.shp,[ 299350.64702449 5702861.09706209  323637.19063674 5729470.30095329],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/pr.shp,[  97136.90812856 5953381.62203664  138987.73651922 5998392.40580737],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/ig.shp,[ 292126.52970941 5710447.90812382  302799.29321033 5729123.37489955],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/ip.shp,[ 321862.01455961 5754783.26908169  410819.13989466 5836658.45764012],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/gl.shp,[ 107463.35557765 5718092.08661188  185274.71390916 5783788.62840379],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/ha.shp,[ 260424.77731093 5714139.17810659  275125.44888342 5726070.8843271 ],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/sk.shp,[ 145643.12273872 5895590.9266795   185667.62197802 5941481.44965929],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/dt.shp,[  74266.71424087 5609888.99694026  147397.24809781 5667198.14470322],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/fk.shp,[  15069.6502174  6215330.07411575   94086.77615161 6291266.13403285],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/ec.shp,[ 284021.62718815 5710484.57299045  286891.33504445 5713646.75327706],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/dg.shp,[ -24138.11898545 6082430.04160189  127298.97343509 6168562.43647416],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/hd.shp,[ 168775.31358355 5941103.53241004  196875.11697872 5964030.00946871],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/hs.shp,[-1.89832769e+05  6.34324663e+06 -3.55461368e+03  6.58847690e+06],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/sy.shp,[   7120.68302611 5797395.83645998  127409.95519596 5898250.8158864 ],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/sn.shp,[ 124082.7240102  5686806.18675247  192614.4784931  5737722.53382805],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/so.shp,[ 169510.57461503 5627022.55528995  217627.60089538 5681787.94633325],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/hr.shp,[  71131.24743385 5756801.32052628  134408.35203925 5813843.47309463],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/iv.shp,[ -86756.34886329 6353079.19012608  140243.72073081 6526352.62455987],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/fy.shp,[  98741.37853903 5968439.87008874  111796.85467422 5996767.16699352],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/dd.shp,[ 113746.18170797 6264883.76366638  182593.5916003  6330581.61879673],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/hg.shp,[ 173156.24061568 5983395.9101887   214920.53038822 6026636.27126572],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/hp.shp,[ 216073.76129007 5719731.23115887  265522.82596742 5758143.4313608 ],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/pa.shp,[-124278.19359769 6158952.75880375   39698.98354566 6324472.91586485],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/sm.shp,[ 274720.71230011 5688131.21714887  282687.51290137 5699629.4361716 ],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/rh.shp,[ 243555.7936315  5641914.32452086  294674.06079741 5686660.64829665],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/sl.shp,[ 232484.81979503 5698353.66561438  258100.54893052 5725839.28395027],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/de.shp,[ 172908.63834434 5844166.97474576  213284.0554911  5912000.06725153],EPSG:32631
